Vector partition: 859, Key insertions: 287859

Vector partition: 3910, Key insertions: 287565

Vector partition: 1283, Key insertions: 287286

Vector partition: 1957, Key insertions: 288173

Vector partition: 3807, Key insertions: 287903

Vector partition: 736, Key insertions: 288098

Vector partition: 2272, Key insertions: 286597

Vector partition: 2374, Key insertions: 287331

Vector partition: 2962, Key insertions: 288410

Vector partition: 504, Key insertions: 288226

Vector partition: 1328, Key insertions: 287819

Vector partition: 3739, Key insertions: 287535

Vector partition: 56, Key insertions: 287637

Vector partition: 2106, Key insertions: 287510

Vector partition: 2522, Key insertions: 287487

Vector partition: 2552, Key insertions: 287506

Vector partition: 705, Key insertions: 287034

Vector partition: 1361, Key insertions: 288132

Vector partition: 2121, Key insertions: 287100

Vector partition: 3865, Key insertions: 286888

Vector partition: 1255, Key insertions: 287607

Vector partition: 3653, Key insertions: 286771

Vector partition: 2515, Key insertions: 287902

Vector partition: 1152, Key insertions: 286569

Vector partition: 1038, Key insertions: 288149

Vector partition: 1757, Key insertions: 287791

Vector partition: 3565, Key insertions: 287846

Vector partition: 197, Key insertions: 287530

Vector partition: 2323, Key insertions: 287941

Vector partition: 2609, Key insertions: 288027

Vector partition: 3661, Key insertions: 286635

Vector partition: 594, Key insertions: 287406

Vector partition: 3074, Key insertions: 287376

Vector partition: 3700, Key insertions: 287324

Vector partition: 1645, Key insertions: 287142

Vector partition: 2843, Key insertions: 287124

Vector partition: 2475, Key insertions: 287904

Vector partition: 49, Key insertions: 287505

Vector partition: 3535, Key insertions: 287477

Vector partition: 1989, Key insertions: 285688

Vector partition: 2961, Key insertions: 288205

Vector partition: 3431, Key insertions: 287306

Vector partition: 3335, Key insertions: 287538

Vector partition: 3730, Key insertions: 288460

Vector partition: 1920, Key insertions: 287104

Vector partition: 2666, Key insertions: 287981

Vector partition: 1738, Key insertions: 286785

Vector partition: 2778, Key insertions: 287647

Vector partition: 2902, Key insertions: 287487

Vector partition: 3511, Key insertions: 287711

Vector partition: 844, Key insertions: 287408

Vector partition: 1341, Key insertions: 287579

Vector partition: 1429, Key insertions: 287191

Vector partition: 3708, Key insertions: 287299

Vector partition: 943, Key insertions: 287663

Vector partition: 1876, Key insertions: 287200

Vector partition: 4033, Key insertions: 287645

Vector partition: 2911, Key insertions: 287570

Vector partition: 937, Key insertions: 287174

Vector partition: 163, Key insertions: 286443

Vector partition: 1688, Key insertions: 287218

Vector partition: 3006, Key insertions: 286871

Vector partition: 1042, Key insertions: 287667

Vector partition: 2655, Key insertions: 286853

Vector partition: 3379, Key insertions: 287635

Vector partition: 2159, Key insertions: 288271

Vector partition: 3939, Key insertions: 287152

Vector partition: 4040, Key insertions: 286847

Vector partition: 1953, Key insertions: 287279

Vector partition: 602, Key insertions: 287722

Vector partition: 3116, Key insertions: 287133

Vector partition: 1574, Key insertions: 286776

Vector partition: 1762, Key insertions: 287734

Vector partition: 1073, Key insertions: 288128

Vector partition: 3943, Key insertions: 286982

Vector partition: 266, Key insertions: 287820

Vector partition: 178, Key insertions: 287842

Vector partition: 613, Key insertions: 287722

Vector partition: 1160, Key insertions: 286737

Vector partition: 1885, Key insertions: 287616

Vector partition: 3486, Key insertions: 287090

Vector partition: 784, Key insertions: 287232

Vector partition: 1355, Key insertions: 287349

Vector partition: 3384, Key insertions: 287163

Vector partition: 3418, Key insertions: 287374

Vector partition: 335, Key insertions: 287627

Vector partition: 3295, Key insertions: 287285

Vector partition: 333, Key insertions: 287460

Vector partition: 3197, Key insertions: 286796

Vector partition: 2444, Key insertions: 287809

Vector partition: 537, Key insertions: 287342

Vector partition: 1949, Key insertions: 287335

Vector partition: 3811, Key insertions: 287465

Vector partition: 3274, Key insertions: 287545

Vector partition: 1784, Key insertions: 287654

Vector partition: 305, Key insertions: 287469

Vector partition: 1110, Key insertions: 287352

Vector partition: 1065, Key insertions: 287781

Vector partition: 3261, Key insertions: 287639

Vector partition: 2462, Key insertions: 287483

Vector partition: 83, Key insertions: 287718

Vector partition: 1660, Key insertions: 287138

Vector partition: 2012, Key insertions: 286801

Vector partition: 2771, Key insertions: 287381

Vector partition: 3993, Key insertions: 288429

Vector partition: 1303, Key insertions: 287593

Vector partition: 2349, Key insertions: 286132

Vector partition: 597, Key insertions: 287773

Vector partition: 629, Key insertions: 286148

Vector partition: 159, Key insertions: 287317

Vector partition: 2621, Key insertions: 286849

Vector partition: 1126, Key insertions: 287393

Vector partition: 2595, Key insertions: 287925

Vector partition: 3778, Key insertions: 287516

Vector partition: 1674, Key insertions: 287453

Vector partition: 4017, Key insertions: 288562

Vector partition: 3639, Key insertions: 287964

Vector partition: 4043, Key insertions: 287414

Vector partition: 579, Key insertions: 289084

Vector partition: 1011, Key insertions: 287462

Vector partition: 2613, Key insertions: 287071

Vector partition: 2402, Key insertions: 286334

Vector partition: 889, Key insertions: 287012

Vector partition: 1564, Key insertions: 287323

Vector partition: 2226, Key insertions: 287569

Vector partition: 2898, Key insertions: 287377

Vector partition: 141, Key insertions: 286846

Vector partition: 2049, Key insertions: 287045

Vector partition: 3949, Key insertions: 287386

Vector partition: 1249, Key insertions: 287791

Vector partition: 1337, Key insertions: 287767

Vector partition: 1444, Key insertions: 287745

Vector partition: 2094, Key insertions: 287574

Vector partition: 1551, Key insertions: 287333

Vector partition: 725, Key insertions: 288341

Vector partition: 1385, Key insertions: 288084

Vector partition: 2229, Key insertions: 287714

Vector partition: 2750, Key insertions: 287418

Vector partition: 52, Key insertions: 287418

Vector partition: 1290, Key insertions: 287149

Vector partition: 3222, Key insertions: 287091

Vector partition: 628, Key insertions: 288001

Vector partition: 437, Key insertions: 287912

Vector partition: 3065, Key insertions: 287472

Vector partition: 790, Key insertions: 287726

Vector partition: 1122, Key insertions: 287479

Vector partition: 986, Key insertions: 287093

Vector partition: 3208, Key insertions: 288703

Vector partition: 2826, Key insertions: 287704

Vector partition: 3048, Key insertions: 287380

Vector partition: 2716, Key insertions: 288051

Vector partition: 995, Key insertions: 287728

Vector partition: 1403, Key insertions: 288006

Vector partition: 498, Key insertions: 288129

